id,name,city,category,rating,cost,duration_hours,latitude,longitude
1,Pashupatinath Temple,Kathmandu,Religious,4.9,1000,2.0,27.71,85.348
2,Swayambhunath Stupa,Kathmandu,Religious,4.8,200,2.0,27.7148,85.2905
3,Boudhanath Stupa,Kathmandu,Culture,4.8,400,2.0,27.7215,85.362
4,Kathmandu Durbar Square,Kathmandu,Culture,4.7,1000,3.0,27.7048,85.3076
5,Garden of Dreams,Kathmandu,Nature,4.6,400,2.0,27.7138,85.3172
6,Narayanhiti Palace Museum,Kathmandu,Museum,4.5,500,2.0,27.7145,85.3177
7,Kopan Monastery,Kathmandu,Religious,4.7,0,2.0,27.742,85.36
8,Chandragiri Hills,Kathmandu,Adventure,4.8,900,5.0,27.6833,85.2085
9,Budhanilkantha Temple,Kathmandu,Religious,4.7,0,2.0,27.794,85.363
10,Shivapuri National Park,Kathmandu,Hiking,4.8,500,6.0,27.82,85.39
11,Thamel,Kathmandu,Culture,4.7,0,3.0,27.7172,85.3123
12,Asan Bazaar,Kathmandu,Food,4.5,0,2.0,27.7075,85.311
13,Hanuman Dhoka,Kathmandu,Culture,4.7,1000,2.0,27.7045,85.3074
14,White Monastery,Kathmandu,Religious,4.6,0,2.0,27.741,85.28
15,Taudaha Lake,Kathmandu,Nature,4.5,0,2.0,27.655,85.286
16,Phewa Lake,Pokhara,Nature,4.9,0,2.0,28.2096,83.9596
17,Sarangkot,Pokhara,Hiking,4.9,300,4.0,28.2458,83.9483
18,Davis Falls,Pokhara,Nature,4.6,150,1.0,28.1937,83.9591
19,Gupteshwor Cave,Pokhara,Adventure,4.6,100,2.0,28.1932,83.9585
20,World Peace Pagoda,Pokhara,Religious,4.8,0,3.0,28.2004,83.9448
21,Bindhyabasini Temple,Pokhara,Religious,4.7,0,1.0,28.2272,83.9852
22,International Mountain Museum,Pokhara,Museum,4.6,500,2.0,28.1882,83.9824
23,Mahendra Cave,Pokhara,Adventure,4.5,150,1.5,28.2524,83.9868
24,Bat Cave,Pokhara,Adventure,4.4,150,1.5,28.2535,83.9878
25,Begnas Lake,Pokhara,Nature,4.8,0,3.0,28.1719,84.1004
26,Seti River Gorge,Pokhara,Nature,4.5,0,2.0,28.22,83.99
27,Pumdikot Shiva Statue,Pokhara,Religious,4.8,0,2.0,28.1885,83.9515
28,Rupa Lake,Pokhara,Nature,4.5,0,3.0,28.156,84.112
29,Chitwan National Park,Bharatpur,Adventure,4.9,2000,6.0,27.5291,84.3542
30,Sauraha,Bharatpur,Nature,4.8,500,3.0,27.581,84.493
31,Bishazari Lake,Bharatpur,Nature,4.6,200,2.0,27.6,84.42
32,Devghat Dham,Bharatpur,Religious,4.7,0,2.0,27.7,84.43
33,Elephant Breeding Center,Bharatpur,Adventure,4.6,300,2.0,27.5815,84.495
34,Kasara Museum,Bharatpur,Museum,4.4,100,1.5,27.56,84.34
35,Rapti River Safari,Bharatpur,Adventure,4.8,1200,3.0,27.584,84.496
36,Maya Devi Temple,Lumbini,Religious,4.9,200,2.0,27.4698,83.2759
37,Lumbini Garden,Lumbini,Nature,4.8,100,3.0,27.4833,83.276
38,Ashoka Pillar,Lumbini,Culture,4.8,100,1.5,27.47,83.276
39,World Peace Flame,Lumbini,Religious,4.6,0,1.0,27.48,83.275
40,German Monastery,Lumbini,Culture,4.6,100,2.0,27.482,83.279
41,Thai Monastery,Lumbini,Religious,4.7,100,2.0,27.481,83.278
42,Bhaktapur Durbar Square,Bhaktapur,Culture,4.9,1500,3.0,27.671,85.4298
43,Nyatapola Temple,Bhaktapur,Religious,4.8,0,2.0,27.672,85.429
